 # New Simulation
           # time                x                y                z             Mass           Radius      Temperature             n_SN         Eint_inj           Ek_inj
  2.018352450E+14  3.315039063E+20 -2.471210937E+20 -3.435585938E+20  1.574605784E+36  8.738863481E+19  3.176801109E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
 # Simulation Res
           # time                x                y                z             Mass           Radius      Temperature             n_SN         Eint_inj           Ek_inj
  2.039366637E+14  3.706816406E+20  4.008183594E+20  1.115058594E+20  1.748707642E+36  7.232865510E+19  2.860517837E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.060376919E+14 -2.561621094E+20 -4.671191406E+20 -1.054785156E+20  1.475512814E+36  1.536990817E+20  3.390149752E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.081392945E+14  4.882148437E+20  4.158867188E+20  3.797226563E+20  1.573265171E+36  1.597163863E+20  3.179508129E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.102602075E+14  7.051992188E+20  3.797226563E+20  2.591757812E+20  1.660250597E+36  1.295798259E+20  3.012924320E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.123598939E+14  1.220537109E+20  6.132822266E+20 -7.534179687E+18  1.508190689E+36  6.328632949E+19  3.316695586E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.144531271E+14 -7.835546875E+19  7.413632812E+20  3.194492188E+20  1.621954085E+36  9.643640454E+19  3.084063507E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.165502689E+14  3.299970703E+20 -6.162958984E+20 -1.039716797E+20  1.682526402E+36  6.629967325E+19  2.973034715E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.186898334E+14  6.841035156E+20 -4.128730469E+20 -1.506835938E+19  1.771729670E+36  1.084925277E+20  2.823347990E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.207841617E+14 -5.334199219E+20  2.139707031E+20 -1.536972656E+20  1.735471347E+36  6.329060964E+19  2.882334767E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
