# time(Myr), x(pc), y(pc), z(pc)
2.671542089385757990e+01 -1.308730483127210675e+02 5.664654329034571134e+01 1.367330355675335340e+01
2.678272148072096570e+01 -2.358644863499443716e+02 2.475844608271615357e+02 2.002162306605617559e+01
2.684903179265850426e+01 2.480727930848926519e+02 -1.660329717767803288e+02 5.859987238608579396e+00
2.691615766724972758e+01 2.207261860037937709e+02 -1.347797065042012434e+02 -5.859987238608579396e+00
2.704833224643192224e+01 -2.402594767991556637e+02 -2.539327803397051397e+01 -7.227317592663524692e+01
2.711508398610794401e+01 -1.450346841434094358e+02 -1.049914380372233040e+02 4.150824294419508220e+01
2.718236260995766429e+01 1.362447033098024178e+02 -1.318497128605911151e+01 -4.443823655539742390e+01
2.724814418396836402e+01 7.178484366890413071e+01 -6.006486919168697369e+01 -8.301648588839016796e+00
2.731494627918472773e+01 -1.855662625721422501e+02 2.539327803397051397e+01 -2.929993619304289965e+01
2.738224333599513116e+01 1.508946713982219023e+02 -5.518154648474454405e+01 -5.322821742141223922e+01
2.751502991038608670e+01 -1.660329717767803359e+01 -1.464996809490105889e+01 1.377097001154035922e+02
2.758219313889522795e+01 -9.229479901213611015e+01 1.806829398651998275e+01 -5.420488196928228319e+01
2.764810277080639977e+01 -8.399315043626020838e+01 -1.504063391404907861e+02 -3.320659436831918754e+01
2.771573174449261145e+01 1.416163582744759708e+02 -2.050995533675041926e+01 -4.590323336099859830e+01
2.778211248637412112e+01 1.201297383833739474e+02 1.298963837972588067e+02 3.613658797952152213e+01
2.784852544553451636e+01 -9.180646675440497972e+01 1.504063391080829888e+02 4.883322700460873733e+01
2.791514433923999405e+01 -2.217028505192560033e+02 -1.865429270876045109e+02 7.324984047450530511e+01
2.798178085152229499e+01 1.074330993906945366e+02 -2.011928951760240238e+02 -3.320659436831918754e+01
2.804756461201105111e+01 -2.256095086783283818e+02 -9.473646036560732853e+01 -4.199657520192620552e+01
2.811412976905721450e+01 5.225155287354219524e+01 -6.885485005770179612e+01 -4.834489471446980957e+01
2.818089531523309788e+01 2.275628377740684698e+02 1.220830674791140353e+02 8.301648588839016440e+01
2.831417548546150442e+01 1.113397575173591179e+02 5.664654329034571134e+01 2.168195278123135949e+02
2.838126487755722849e+01 9.180646675440497972e+01 -1.621263136177079502e+02 -3.320659436831918754e+01
2.844796018074885424e+01 -4.883322697220093822e-01 2.427011381202191274e+02 6.885485005770179612e+01
2.851437086470453863e+01 -1.582196554262277743e+02 5.859987238608579396e+00 2.929993619304289965e+01
2.858132461594037466e+01 6.055320148182588724e+01 -1.347797065042012434e+02 -4.883322700460873733e+01
2.864854782049332016e+01 7.227317592663524692e+01 1.113397575173591179e+02 -6.445985960849048979e+01
2.871394681154460571e+01 -2.412361413146179530e+02 -2.275628377740684698e+02 7.910982772931778584e+01
2.884799165335767057e+01 -1.933795788902870640e+02 -1.855662625721422501e+02 9.766645397680967733e+00
2.891399767092554640e+01 -6.738985325210062172e+01 7.129651141117300028e+01 1.064564348428244784e+02
2.898095823826907136e+01 -8.399315043626020838e+01 -1.504063391404907861e+02 -3.320659436831918754e+01
2.904706548977108582e+01 2.050995533675041926e+01 2.041228888196341416e+02 -2.636994257211822301e+01
2.911407544299946792e+01 9.034146991639602220e+01 -5.518154648474454405e+01 -1.709162944513149895e+01
2.918069430501685702e+01 4.004324613859391491e+01 1.982629015648217035e+02 -2.929993619304289698e+00
2.924688962405252468e+01 -1.098747607117579435e+02 6.494819189862940334e+01 -9.424812807546840077e+01
2.931427077787918023e+01 5.664654329034571134e+01 -1.855662625721422501e+02 -4.101991065405616155e+01
2.938075457259107282e+01 -2.202378537136548289e+02 -5.420488196928228319e+01 2.685827484281246669e+01
2.944749364336958308e+01 -1.660329717767803288e+02 -1.367330355675335340e+01 -6.445985960849048979e+01
2.951407903009100764e+01 -9.766645397680967733e+00 1.152464156764315106e+02 2.539327803397051397e+01
2.957987728787994186e+01 -1.035264412316221296e+02 1.933795788902870640e+02 -3.320659436831918754e+01
2.964659026034933120e+01 -2.246328441628661210e+02 -9.571312491347735829e+01 -4.101991065405616155e+01
2.971317406900397984e+01 3.027660073443138344e+01 1.631029781331701827e+02 -5.371654967914336964e+01
2.977991232539863731e+01 -1.582196554262277743e+02 5.859987238608579396e+00 2.929993619304289965e+01
2.984730800187593402e+01 6.006486919168697369e+01 -1.401513614688747964e+02 1.479646777870195535e+02
2.991354695857733148e+01 -7.227317592663524692e+01 -2.090062115265766067e+02 -1.953329079536193280e+00
